iter	Passed	Remaining
0	132	132448
1	135	67842
2	140	46714
3	145	36178
4	148	29558
5	151	25153
6	156	22187
7	159	19820
8	162	17942
9	166	16446
10	170	15285
11	172	14197
12	174	13234
13	176	12415
14	178	11705
15	180	11082
16	182	10531
17	184	10073
18	186	9637
19	188	9239
20	190	8880
21	192	8555
22	194	8255
23	196	7980
24	199	7776
25	201	7547
26	203	7327
27	205	7123
28	207	6935
29	209	6759
30	210	6593
31	213	6458
32	215	6319
33	217	6187
34	219	6054
35	221	5922
36	222	5792
37	223	5665
38	224	5543
39	226	5429
40	228	5337
41	229	5236
42	230	5135
43	231	5039
44	233	4948
45	234	4860
46	235	4775
47	236	4695
48	237	4618
49	239	4545
50	241	4501
51	243	4444
52	245	4381
53	246	4317
54	247	4254
55	248	4194
56	249	4135
57	251	4080
58	252	4026
59	253	3973
60	255	3933
61	257	3888
62	258	3841
63	259	3795
64	260	3749
65	261	3705
66	263	3662
67	264	3621
68	265	3581
69	266	3542
70	268	3507
71	269	3470
72	271	3445
73	272	3413
74	273	3378
75	275	3345
76	276	3312
77	277	3280
78	278	3249
79	279	3218
80	281	3188
81	282	3159
82	282	3124
83	284	3097
84	286	3082
85	287	3059
86	289	3033
87	290	3008
88	291	2983
89	292	2958
90	293	2934
91	295	2911
92	296	2888
93	297	2866
94	298	2843
95	299	2822
96	301	2805
97	302	2787
98	304	2767
99	305	2749
100	306	2732
101	308	2714
102	309	2695
103	310	2677
104	311	2658
105	313	2641
106	314	2623
107	316	2614
108	318	2599
109	319	2583
110	320	2566
111	321	2550
112	322	2533
113	323	2517
114	325	2501
115	326	2486
116	327	2469
117	328	2455
118	329	2440
119	331	2430
120	332	2418
121	333	2403
122	335	2389
123	336	2376
124	337	2362
125	338	2349
126	339	2335
127	340	2322
128	342	2310
129	343	2297
130	344	2285
131	346	2276
132	347	2267
133	349	2255
134	350	2244
135	351	2232
136	352	2221
137	353	2209
138	354	2198
139	356	2187
140	357	2176
141	357	2162
142	359	2152
143	360	2143
144	362	2136
145	363	2127
146	364	2117
147	366	2106
148	367	2097
149	368	2087
150	369	2077
151	370	2068
152	371	2058
153	373	2049
154	374	2040
155	375	2031
156	377	2025
157	378	2019
158	380	2011
159	381	2005
160	383	1996
161	384	1990
162	386	1983
163	387	1976
164	388	1968
